id,word,part_of_speech,korean_meaning,korean_pronunciation,example_sentence,example_translation,category,difficulty,tags,starred
18,her,determiner,그녀의,허,I borrowed her umbrella on my way out.,나가는 길에 그녀의 우산을 빌렸어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
19,out,adverb,밖으로; 밖에,아웃,Let's go out for dinner tonight.,오늘 밤에는 저녁 먹으러 나가자.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
20,come,verb,오다,컴,Please come to the lab tomorrow.,내일 연구실로 와 주세요.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
21,people,noun,사람들,피플,So many people were waiting at the bus stop.,버스 정류장에 정말 많은 사람들이 기다리고 있었어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
22,take,verb,가져가다; 취하다,테이크,It will take about an hour.,약 한 시간이 걸릴 것이다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
23,year,noun,해; 년,이어,We moved to Seoul two years ago.,우리는 2년 전에 서울로 이사했어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
24,some,determiner,일부의; 몇몇의,섬,Can you buy some milk on your way home?,집에 오는 길에 우유 좀 사다 줄래?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
25,want,verb,원하다,원트,I want to improve my English steadily.,나는 영어 실력을 꾸준히 향상하고 싶다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
26,now,adverb,지금,나우,"I'm cooking dinner right now, so can I call you later?",지금 저녁을 만들고 있는데 나중에 전화해도 될까?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
27,like,preposition,~처럼; ~같이,라이크,"It looks like rain, so take an umbrella.",비가 올 것 같으니 우산을 챙겨.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
28,other,adjective,다른,아더,The other room is much quieter.,다른 방이 훨씬 조용해.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
29,could,verb,~할 수 있었다; ~할 수도 있다,쿠드,"Could you pass me the salt, please?",소금 좀 건네줄래?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
30,into,preposition,~안으로,인투,She walked into the kitchen and smiled.,그녀는 부엌으로 들어와 미소를 지었어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
31,here,adverb,여기에,히어,Come here and look at this photo.,여기 와서 이 사진 좀 봐.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
32,then,adverb,그때; 그다음에; 그러면,덴,"We had dinner, and then we watched a movie.",우리는 저녁을 먹고 나서 영화를 봤어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
33,than,conjunction,~보다,댄,This coffee is better than the one we had yesterday.,이 커피는 어제 마신 것보다 더 맛있어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
34,look,verb,보다; ~처럼 보이다,룩,The new design looks simple.,새 디자인은 단순해 보인다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
35,way,noun,방법; 길,웨이,Is there an easier way to get downtown?,시내로 가는 더 쉬운 길이 있을까?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
36,thing,noun,것; 물건; 일,씽,I have a few things to finish before lunch.,점심 전에 끝내야 할 일이 몇 가지 있어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
37,well,adverb,잘,웰,She plays the piano really well.,그녀는 피아노를 정말 잘 쳐.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
38,because,conjunction,왜냐하면; ~때문에,비코즈,I stayed home because I was feeling tired.,피곤해서 집에 있었어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
39,also,adverb,또한; ~도,올소,I also want to try that new restaurant.,나도 그 새로 생긴 식당에 가 보고 싶어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
40,use,verb,사용하다,유즈,We use this dataset for evaluation.,우리는 평가를 위해 이 데이터셋을 사용한다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
41,tell,verb,말해 주다,텔,Please tell me what happened.,무슨 일이 있었는지 말해 주세요.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
42,good,adjective,좋은,굿,That's a really good idea for the weekend.,주말 계획으로 정말 좋은 생각이야.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
43,first,adjective,첫 번째의; 최초의,퍼스트,This is my first time visiting Busan.,부산에 와 본 건 이번이 처음이야.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
44,man,noun,남자,맨,The man at the counter was very friendly.,카운터에 있던 남자가 정말 친절했어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
45,day,noun,날; 하루,데이,Have a great day at work!,직장에서 좋은 하루 보내!,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
46,find,verb,찾다; 발견하다,파인드,I found an error in the table.,나는 표에서 오류를 발견했다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
47,give,verb,주다,기브,Could you give me an example?,예시를 하나 들어 줄 수 있나요?,conversation,A1,conversation|essential|curated-example|source:manual-core,false
48,more,determiner,더 많은,모어,Do we need more chairs for the party?,파티에 의자가 더 필요할까?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
49,new,adjective,새로운,뉴,I love your new haircut.,새로 한 머리 정말 마음에 든다.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
50,any,determiner,어떤; 아무,애니,Do you have any plans for Saturday?,토요일에 무슨 계획 있어?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
51,very,adverb,매우,베리,"The soup is very hot, so be careful.",수프가 아주 뜨거우니까 조심해.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
52,need,verb,필요하다,니드,We need more evidence.,우리는 더 많은 근거가 필요하다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
53,back,adverb,뒤로; 다시,백,I'll be back in ten minutes.,10분 후에 돌아올게.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
54,should,verb,~해야 한다,슈드,You should get some rest this weekend.,이번 주말에는 좀 쉬어야 해.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
55,even,adverb,심지어; 훨씬,이븐,He didn't even say goodbye before leaving.,그는 떠나기 전에 인사조차 하지 않았어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
56,only,adverb,오직; 단지,온리,We only have five minutes before the bus leaves.,버스가 떠나기까지 5분밖에 안 남았어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
57,many,determiner,많은,매니,How many people are coming to dinner?,저녁 식사에 몇 명이나 와?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
58,really,adverb,정말로,리얼리,I really enjoyed the concert last night.,어젯밤 콘서트 정말 즐거웠어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
59,work,verb,일하다; 일,워크,This approach works well in practice.,이 접근법은 실제로 잘 작동한다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
60,life,noun,삶; 인생,라이프,Moving abroad completely changed my life.,해외로 이주한 것이 내 인생을 완전히 바꿨어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
61,right,adjective,맞는; 오른쪽의,라이트,You were right about that restaurant being amazing.,그 식당이 훌륭하다는 네 말이 맞았어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
62,down,adverb,아래로,다운,Please sit down and make yourself comfortable.,앉아서 편하게 있어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
63,try,verb,시도하다,트라이,I will try to explain it clearly.,나는 그것을 명확하게 설명해 보겠다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
64,let,verb,~하게 하다; 허락하다,렛,Let me know when you arrive.,도착하면 알려 줘.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
65,too,adverb,너무; 또한,투,It's too cold to eat outside today.,오늘은 밖에서 먹기엔 너무 추워.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
66,call,verb,전화하다; 부르다,콜,I will call you after the meeting.,회의 후에 전화할게.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
67,woman,noun,여자,우먼,The woman next door bakes amazing bread.,옆집 여자분이 빵을 정말 맛있게 구워.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
68,may,verb,~일지도 모른다; ~해도 된다,메이,"It may rain later, so bring a jacket.",나중에 비가 올지도 모르니까 재킷을 가져와.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
69,still,adverb,여전히; 아직도,스틸,Are you still working on that report?,아직도 그 보고서 작업 중이야?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
70,through,preposition,~을 통하여; ~을 지나,스루,We walked through the park on our way home.,우리는 집에 가는 길에 공원을 지나서 걸었어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
71,mean,verb,의미하다; 뜻하다,민,What does this sign mean?,이 표지판은 무슨 뜻이야?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
72,after,preposition,~후에,애프터,Let's grab coffee after the meeting.,회의 끝나고 커피 마시자.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
73,never,adverb,결코 ~않다,네버,I've never tried Indian food before.,나는 인도 음식을 한 번도 먹어 본 적이 없어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
74,world,noun,세계,월드,She wants to travel around the world someday.,그녀는 언젠가 세계 여행을 하고 싶어 해.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
75,feel,verb,느끼다,필,I feel more confident today.,나는 오늘 더 자신감을 느낀다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
76,great,adjective,훌륭한; 아주 좋은,그레이트,We had a great time at the picnic.,우리는 소풍에서 정말 즐거운 시간을 보냈어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
77,last,adjective,마지막의; 지난,라스트,I saw him at the gym last week.,지난주에 헬스장에서 그를 봤어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
78,child,noun,아이; 어린이,차일드,Their child just started elementary school.,그 집 아이가 얼마 전에 초등학교에 입학했어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
79,ask,verb,묻다; 요청하다,애스크,Can I ask you a quick question?,간단한 질문 하나 해도 될까?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
80,school,noun,학교,스쿨,The kids walk to school every morning.,아이들은 매일 아침 걸어서 학교에 가.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
81,state,noun,상태; 주(州),스테이트,My cousin lives in a different state now.,내 사촌은 지금 다른 주에 살아.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
82,much,determiner,많은,머치,We don't have much time before the movie starts.,영화 시작 전까지 시간이 많지 않아.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
83,talk,verb,말하다; 대화하다,토크,Can we talk about the experiment?,실험에 관해 이야기할 수 있을까요?,conversation,A1,conversation|essential|curated-example|source:manual-core,false
84,keep,verb,유지하다; 계속 가지고 있다,킵,Please keep the receipt in case you need it.,필요할 수도 있으니 영수증을 보관해.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
85,leave,verb,떠나다; 남기다,리브,What time do you leave for work?,몇 시에 출근해?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
86,put,verb,놓다; 두다,풋,Just put the groceries on the kitchen table.,장 본 것들은 그냥 부엌 식탁 위에 놔 줘.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
87,help,verb,돕다; 도움,헬프,This example will help you understand.,이 예시는 이해하는 데 도움이 될 것이다.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
88,big,adjective,큰,빅,They just moved into a big new apartment.,그들은 얼마 전에 크고 새 아파트로 이사했어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
89,same,determiner,같은,세임,We take the same bus every morning.,우리는 매일 아침 같은 버스를 타.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
90,own,determiner,자신의,오운,She finally has her own room.,그녀는 드디어 자기만의 방이 생겼어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
91,while,conjunction,~하는 동안,와일,I listened to music while cleaning the house.,집 청소를 하는 동안 음악을 들었어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
92,start,verb,시작하다,스타트,Let's start with a simple example.,간단한 예시부터 시작하자.,conversation,A1,conversation|essential|curated-example|source:manual-core,false
93,high,adjective,높은,하이,Prices are really high at that store.,그 가게는 물건값이 정말 비싸.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
94,every,determiner,모든; 매~,에브리,I go jogging every morning before breakfast.,나는 매일 아침 식사 전에 조깅을 해.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
95,another,determiner,또 다른; 또 하나의,어나더,Would you like another cup of coffee?,커피 한 잔 더 할래?,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
96,become,verb,~이 되다,비컴,She wants to become a nurse.,그녀는 간호사가 되고 싶어 해.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
97,most,adverb,가장; 대부분,모스트,This is the most delicious cake I've ever had.,이건 내가 먹어 본 케이크 중에 제일 맛있어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
98,between,preposition,~사이에,비트윈,The cafe is between the bank and the bookstore.,그 카페는 은행과 서점 사이에 있어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
99,happen,verb,일어나다,해펀,What happened during the test?,테스트 중에 무슨 일이 있었나요?,conversation,A1,conversation|essential|curated-example|source:manual-core,false
100,family,noun,가족,패밀리,We're having a family dinner on Sunday.,일요일에 가족 저녁 모임이 있어.,conversation,A1,conversation|essential|safe-auto-example|source:manual-core,false
101,figure out,phrasal verb,(생각해서) 알아내다; 이해하다,피겨 아웃,I can't figure out how to use this app.,이 앱을 어떻게 쓰는지 모르겠어.,conversation,A2,conversation|phrasal-verb|essential,false
102,find out,phrasal verb,(정보를) 알아내다; 알게 되다,파인드 아웃,I just found out that the meeting was canceled.,회의가 취소됐다는 걸 방금 알았어.,conversation,A2,conversation|phrasal-verb|essential,false
103,hang out,phrasal verb,(편하게) 놀다; 시간을 보내다,행 아웃,Do you want to hang out this weekend?,이번 주말에 같이 놀래?,conversation,A2,conversation|phrasal-verb|essential,false
104,work out,phrasal verb,운동하다; (일이) 잘 풀리다,워크 아웃,I work out at the gym three times a week.,나는 일주일에 세 번 헬스장에서 운동해.,conversation,A2,conversation|phrasal-verb|essential,false
105,check out,phrasal verb,확인해 보다; (호텔에서) 체크아웃하다,체크 아웃,You should check out that new restaurant.,그 새로 생긴 식당 한번 가 봐.,conversation,A2,conversation|phrasal-verb|essential,false
106,pick up,phrasal verb,집어 들다; (차로) 데리러 가다; (기술을) 익히다,픽 업,Can you pick me up at the station at six?,6시에 역으로 데리러 와 줄 수 있어?,conversation,A2,conversation|phrasal-verb|essential,false
107,drop off,phrasal verb,(사람·물건을) 내려 주다; 갖다 주다,드랍 오프,I'll drop you off at the airport tomorrow morning.,내일 아침에 공항까지 데려다줄게.,conversation,A2,conversation|phrasal-verb|essential,false
108,give up,phrasal verb,포기하다; 그만두다,기브 업,Don't give up just because it's hard.,어렵다고 포기하지 마.,conversation,A2,conversation|phrasal-verb|essential,false
109,end up,phrasal verb,결국 ~하게 되다,엔드 업,We ended up ordering pizza again.,우리는 결국 또 피자를 시켰어.,conversation,B1,conversation|phrasal-verb|essential,false
110,show up,phrasal verb,나타나다; (모임에) 오다,쇼 업,He didn't show up to the meeting yesterday.,그는 어제 회의에 나타나지 않았어.,conversation,B1,conversation|phrasal-verb|essential,false
111,catch up,phrasal verb,(밀린 것을) 따라잡다; 근황을 나누다,캐치 업,Let's grab coffee and catch up soon.,조만간 커피 마시면서 밀린 얘기하자.,conversation,B1,conversation|phrasal-verb|essential,false
112,come up with,phrasal verb,(아이디어를) 생각해 내다,컴 업 위드,She came up with a great idea for the project.,그녀가 프로젝트에 대한 좋은 아이디어를 생각해 냈어.,conversation,B1,conversation|phrasal-verb|essential,false
113,run out of,phrasal verb,~을 다 써 버리다; ~이 떨어지다,런 아웃 오브,We're running out of milk.,우유가 다 떨어져 가.,conversation,A2,conversation|phrasal-verb|essential,false
114,look forward to,phrasal verb,~을 기대하다; 고대하다,룩 포워드 투,I'm looking forward to seeing you next week.,다음 주에 만나는 거 기대하고 있어.,conversation,A2,conversation|phrasal-verb|essential,false
115,put off,phrasal verb,미루다; 연기하다,풋 오프,Stop putting off the dentist appointment.,치과 예약 그만 미뤄.,conversation,B1,conversation|phrasal-verb|essential,false
116,turn out,phrasal verb,~인 것으로 드러나다; 결과가 ~하게 되다,턴 아웃,It turned out to be a misunderstanding.,알고 보니 오해였어.,conversation,B1,conversation|phrasal-verb|essential,false
117,get along,phrasal verb,사이좋게 지내다,겟 얼롱,I get along really well with my coworkers.,나는 직장 동료들이랑 정말 잘 지내.,conversation,A2,conversation|phrasal-verb|essential,false
118,turn on,phrasal verb,(전원을) 켜다,턴 온,Could you turn on the air conditioner?,에어컨 좀 켜 줄래?,conversation,A1,conversation|phrasal-verb|essential,false
119,turn off,phrasal verb,(전원을) 끄다,턴 오프,Don't forget to turn off the lights.,불 끄는 거 잊지 마.,conversation,A1,conversation|phrasal-verb|essential,false
120,put on,phrasal verb,(옷을) 입다; (신발을) 신다,풋 온,Put on a jacket. It's cold outside.,재킷 입어. 밖에 추워.,conversation,A1,conversation|phrasal-verb|essential,false
121,take off,phrasal verb,(옷을) 벗다; (비행기가) 이륙하다; 쉬다,테이크 오프,I'm taking Friday off for a trip.,여행 때문에 금요일에 휴가 낼 거야.,conversation,A2,conversation|phrasal-verb|essential,false
122,get up,phrasal verb,(잠자리에서) 일어나다,겟 업,I usually get up around seven.,나는 보통 7시쯤 일어나.,conversation,A1,conversation|phrasal-verb|essential,false
123,wake up,phrasal verb,잠에서 깨다,웨이크 업,I woke up late this morning.,오늘 아침에 늦게 일어났어.,conversation,A1,conversation|phrasal-verb|essential,false
124,go out,phrasal verb,외출하다; 놀러 나가다,고 아웃,We're going out for dinner tonight.,우리 오늘 저녁 먹으러 나가.,conversation,A1,conversation|phrasal-verb|essential,false
125,come over,phrasal verb,(집에) 놀러 오다,컴 오버,Why don't you come over after work?,퇴근하고 우리 집에 올래?,conversation,A2,conversation|phrasal-verb|essential,false
126,stop by,phrasal verb,잠깐 들르다,스탑 바이,I'll stop by the pharmacy on my way home.,집에 가는 길에 약국에 잠깐 들를게.,conversation,A2,conversation|phrasal-verb|essential,false
127,look up,phrasal verb,(사전·인터넷에서) 찾아보다,룩 업,Just look it up on your phone.,그냥 휴대폰으로 찾아봐.,conversation,A2,conversation|phrasal-verb|essential,false
128,write down,phrasal verb,적어 두다; 메모하다,라이트 다운,Let me write down your number.,네 번호 좀 적어 둘게.,conversation,A1,conversation|phrasal-verb|essential,false
129,fill out,phrasal verb,(서류를) 작성하다,필 아웃,Please fill out this form first.,먼저 이 양식을 작성해 주세요.,conversation,A2,conversation|phrasal-verb|essential,false
130,hand in,phrasal verb,제출하다,핸드 인,I have to hand in the report by Friday.,금요일까지 보고서를 제출해야 해.,conversation,B1,conversation|phrasal-verb|essential,false
131,give back,phrasal verb,돌려주다,기브 백,Can you give back the book I lent you?,내가 빌려준 책 돌려줄 수 있어?,conversation,A2,conversation|phrasal-verb|essential,false
132,bring up,phrasal verb,(화제를) 꺼내다; (아이를) 기르다,브링 업,I didn't want to bring up the salary issue.,연봉 얘기는 꺼내고 싶지 않았어.,conversation,B1,conversation|phrasal-verb|essential,false
133,set up,phrasal verb,설치하다; (모임을) 잡다; 설정하다,셋 업,Let me set up a meeting for next Tuesday.,다음 주 화요일에 회의를 잡을게요.,conversation,B1,conversation|phrasal-verb|essential,false
134,sign up,phrasal verb,가입하다; 신청하다,사인 업,I signed up for a morning yoga class.,아침 요가 수업을 신청했어.,conversation,A2,conversation|phrasal-verb|essential,false
135,log in,phrasal verb,로그인하다,로그 인,I can't log in to my account.,내 계정에 로그인이 안 돼.,conversation,A2,conversation|phrasal-verb|essential,false
136,run into,phrasal verb,우연히 마주치다; (문제에) 부딪히다,런 인투,I ran into an old friend at the mall.,쇼핑몰에서 옛 친구를 우연히 만났어.,conversation,B1,conversation|phrasal-verb|essential,false
137,get over,phrasal verb,(병·충격에서) 회복하다; 극복하다,겟 오버,It took me a week to get over the cold.,감기가 낫는 데 일주일 걸렸어.,conversation,B1,conversation|phrasal-verb|essential,false
138,get through,phrasal verb,(힘든 시기를) 견뎌 내다; 끝내다,겟 스루,Coffee helps me get through the afternoon.,커피 덕분에 오후를 버텨.,conversation,B1,conversation|phrasal-verb|essential,false
139,go over,phrasal verb,검토하다; 살펴보다,고 오버,Let's go over the plan one more time.,계획을 한 번 더 검토해 보자.,conversation,B1,conversation|phrasal-verb|essential,false
140,think over,phrasal verb,곰곰이 생각해 보다,씽크 오버,Give me a day to think it over.,하루만 생각할 시간을 줘.,conversation,B1,conversation|phrasal-verb|essential,false
141,calm down,phrasal verb,진정하다,캄 다운,Take a deep breath and calm down.,심호흡하고 진정해.,conversation,A2,conversation|phrasal-verb|essential,false
142,cheer up,phrasal verb,기운 내다; 기운 나게 하다,치어 업,Cheer up! Things will get better.,기운 내! 다 잘될 거야.,conversation,A2,conversation|phrasal-verb|essential,false
143,hurry up,phrasal verb,서두르다,허리 업,"Hurry up, or we'll miss the train.","서둘러, 안 그러면 기차 놓쳐.",conversation,A1,conversation|phrasal-verb|essential,false
144,slow down,phrasal verb,속도를 늦추다,슬로우 다운,Could you slow down? You speak too fast.,좀 천천히 말해 줄래? 너무 빨라.,conversation,A2,conversation|phrasal-verb|essential,false
145,throw away,phrasal verb,버리다,쓰로우 어웨이,Don't throw away the receipt.,영수증 버리지 마.,conversation,A2,conversation|phrasal-verb|essential,false
146,clean up,phrasal verb,치우다; 청소하다,클린 업,Let's clean up before the guests arrive.,손님들 오기 전에 치우자.,conversation,A2,conversation|phrasal-verb|essential,false
147,try on,phrasal verb,(옷을) 입어 보다,트라이 온,Can I try on these jeans?,이 청바지 입어 봐도 되나요?,conversation,A2,conversation|phrasal-verb|essential,false
148,pay back,phrasal verb,(돈을) 갚다,페이 백,"I'll pay you back tomorrow, I promise.","내일 꼭 갚을게, 약속해.",conversation,A2,conversation|phrasal-verb|essential,false
149,count on,phrasal verb,믿다; 의지하다,카운트 온,You can always count on me.,넌 언제든 나를 믿어도 돼.,conversation,B1,conversation|phrasal-verb|essential,false
150,deal with,phrasal verb,처리하다; 다루다; 상대하다,딜 위드,I have a lot of emails to deal with today.,오늘 처리할 이메일이 많아.,conversation,B1,conversation|phrasal-verb|essential,false
151,take care of,phrasal verb,돌보다; 처리하다,테이크 케어 오브,"Don't worry, I'll take care of it.","걱정 마, 내가 처리할게.",conversation,A2,conversation|phrasal-verb|essential,false
152,run late,phrase,늦어지다; 예정보다 늦다,런 레이트,"Sorry, I'm running late. I'll be there in ten minutes.","미안, 좀 늦고 있어. 10분 안에 도착할게.",conversation,A2,conversation|phrase|essential,false
153,sleep in,phrasal verb,늦잠 자다 (일부러),슬립 인,I love sleeping in on Sundays.,나는 일요일에 늦잠 자는 게 너무 좋아.,conversation,A2,conversation|phrasal-verb|essential,false
154,stay up,phrasal verb,안 자고 깨어 있다,스테이 업,I stayed up late watching a series.,드라마 보느라 늦게까지 안 잤어.,conversation,A2,conversation|phrasal-verb|essential,false
155,eat out,phrasal verb,외식하다,잇 아웃,We eat out about once a week.,우리는 일주일에 한 번 정도 외식해.,conversation,A2,conversation|phrasal-verb|essential,false
156,take out,phrasal verb,포장해 가다; 꺼내다; (쓰레기를) 내놓다,테이크 아웃,Can you take out the trash tonight?,오늘 밤에 쓰레기 좀 내다 줄래?,conversation,A2,conversation|phrasal-verb|essential,false
157,on my way,phrase,가는 중; 이동 중,온 마이 웨이,I'm on my way. See you soon.,지금 가는 중이야. 곧 봐.,conversation,A2,conversation|phrase|essential,false
158,in a hurry,phrase,서두르는; 급한,인 어 허리,"Sorry, I can't talk now. I'm in a hurry.","미안, 지금은 얘기 못 해. 급해서.",conversation,A2,conversation|phrase|essential,false
159,by the way,phrase,그런데; 그건 그렇고,바이 더 웨이,"By the way, did you hear the news?",그런데 그 소식 들었어?,conversation,A2,conversation|phrase|essential,false
160,kind of,phrase,약간; 어느 정도 (구어),카인드 오브,I'm kind of tired today.,오늘 좀 피곤하네.,conversation,A2,conversation|phrase|essential,false
161,sort of,phrase,약간; 그런 셈인 (구어),소트 오브,It sort of makes sense now.,이제 어느 정도 이해가 되네.,conversation,B1,conversation|phrase|essential,false
162,a little bit,phrase,조금; 약간,어 리틀 빗,Can you speak a little bit slower?,조금만 천천히 말해 줄래요?,conversation,A1,conversation|phrase|essential,false
163,make sense,phrase,말이 되다; 이해가 되다,메이크 센스,That explanation makes sense to me.,그 설명은 이해가 돼.,conversation,B1,conversation|phrase|essential,false
